Test No,Subtest No,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec),Qpoc Rise Time (sec)
1,1,0,2.034,2.033,1.773
1,2,0,2.041,2.032,1.856
2,1,0,2.016,2.009,1.749
2,2,0,2.132,2.13,1.862
3,1,0,1.937,1.934,1.67
3,2,0,2.114,2.123,1.847
4,1,0,1.937,1.936,1.676
4,2,0,2.017,2.021,1.751
5,1,0,2.006,2.016,1.656
5,2,0,2.077,2.153,1.702
6,1,0,2.189,1.911,1.687
6,2,0,2.256,2.255,1.833
7,1,0,2.136,2.136,1.857
7,2,0,2.007,2.039,1.784
8,1,0,2.034,2.032,1.764
8,2,0,2.142,2.143,1.87
9,1,0,1.919,1.898,1.68
9,2,0,2.129,2.029,1.807
10,1,0,1.963,1.948,1.777
10,2,0,2.066,2.033,1.803
11,1,0,2.279,2.178,1.75
11,2,0,2.099,2.102,1.687
12,1,0,1.907,2.682,1.64
12,2,0,2.14,2.221,1.699
