Test Num,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec),Qpoc Rise Time (sec)
Test 1 p1,NA,0.849,0.844,0.751
Test 1 p2,NA,0.629,0.62,0.547
Test 2 p1,NA,1.429,1.425,1.32
Test 2 p2,NA,0.795,0.78,0.703
Test 3 p1,NA,0.813,0.782,0.717
Test 3 p2,NA,0.592,0.567,0.513
Test 4 p1,NA,1.471,1.452,1.357
Test 4 p2,NA,0.864,0.844,0.757
Test 5 p1,NA,1.524,1.492,1.413
Test 5 p2,NA,1.577,1.548,1.46
Test 6 p1,NA,1.408,1.4,1.299
Test 6 p2,NA,1.528,1.538,1.412
Test 7 p1,NA,0.818,0.836,0.724
Test 7 p2,NA,0.572,0.618,0.492
Test 8 p1,NA,1.337,1.353,1.23
Test 8 p2,NA,0.783,0.805,0.692
Test 9 p1,NA,0.794,0.787,0.703
Test 9 p2,NA,0.568,0.602,0.489
Test 10 p1,NA,1.512,1.49,1.405
Test 10 p2,NA,0.886,0.89,0.792
Test 11 p1,NA,1.533,1.489,1.406
Test 11 p2,NA,1.6,1.617,1.461
Test 12 p1,NA,1.436,1.437,1.332
Test 12 p2,NA,1.569,1.578,1.46
Test 13 p1,NA,0.856,0.88,0.756
Test 13 p2,NA,0.65,0.659,0.57
Test 14 p1,NA,1.461,1.469,1.347
Test 14 p2,NA,0.842,0.844,0.745
Test 15 p1,NA,0.818,0.809,0.722
Test 15 p2,NA,0.625,0.612,0.544
Test 16 p1,NA,1.621,1.62,1.517
Test 16 p2,NA,0.891,0.886,0.785
Test 17 p1,NA,1.414,1.413,1.307
Test 17 p2,NA,1.573,1.562,1.46
Test 18 p1,NA,1.448,1.442,1.336
Test 18 p2,NA,1.602,1.608,1.492
